Well_ID,Depth,GAM(NAT),RES(16N),RES(64N),NEUTRON,Interpretation,Interpretation_N
1-T-209,180.1,104.988,171.516,216.732,674.026,Dry,0
1-T-209,180.2,240.172,172.299,216.732,632.333,Dry,0
1-T-209,180.3,104.988,169.951,216.732,680.974,Dry,0
1-T-209,180.4,229.773,176.12,216.732,611.487,Dry,0
1-T-209,180.5,167.38,177.64,217.913,576.744,Dry,0
1-T-209,180.6,198.577,176.765,219.685,528.103,Dry,0
1-T-209,180.7,177.779,175.706,220.866,576.744,Dry,0
1-T-209,180.8,146.583,176.212,220.866,583.692,Dry,0
1-T-209,180.9,104.988,176.903,220.866,590.641,Dry,0
1-T-209,181,52.9939,173.956,220.866,674.026,Dry,0
1-T-209,181.1,63.3926,173.91,220.866,528.103,Dry,0
1-T-209,181.2,94.589,169.398,226.772,632.333,Dry,0
1-T-209,181.3,115.387,171.378,226.772,736.564,Dry,0
1-T-209,181.4,84.1902,172.575,226.772,621.91,Dry,0
1-T-209,181.5,115.387,177.455,226.772,722.667,Dry,0
1-T-209,181.6,104.988,176.604,223.819,757.41,Dry,0
1-T-209,181.7,115.387,176.857,222.638,743.513,Dry,0
1-T-209,181.8,84.1902,177.594,219.685,604.538,Dry,0
1-T-209,181.9,84.1902,178.883,217.913,608.013,Dry,0
1-T-209,182,104.988,177.455,219.685,687.923,Dry,0
1-T-209,182.1,84.1902,168.109,223.819,597.59,Dry,0
1-T-209,182.2,47.7945,166.13,223.819,604.538,Dry,0
1-T-209,182.3,63.3926,167.235,225,667.077,Dry,0
1-T-209,182.4,73.7914,167.327,226.772,708.769,Dry,0
1-T-209,182.5,52.9939,167.971,226.772,590.641,Dry,0
1-T-209,182.6,167.38,167.971,229.134,715.718,Dry,0
1-T-209,182.7,84.1902,168.662,229.134,764.359,Dry,0
1-T-209,182.8,84.1902,169.398,226.772,826.897,Dry,0
1-T-209,182.9,84.1902,174.693,226.772,687.923,Dry,0
1-T-209,183,94.589,179.113,223.819,674.026,Dry,0
1-T-209,183.1,42.5951,180.172,226.772,555.897,Dry,0
1-T-209,183.2,52.9939,179.297,226.772,667.077,Dry,0
1-T-209,183.3,63.3926,183.349,226.772,632.333,Dry,0
1-T-209,183.4,177.779,182.796,226.772,590.641,Dry,0
1-T-209,183.5,136.184,177.317,226.772,590.641,Dry,0
1-T-209,183.6,115.387,179.711,226.772,507.256,Dry,0
1-T-209,183.7,104.988,181.553,226.772,667.077,Dry,0
1-T-209,183.8,177.779,183.257,226.772,521.154,Dry,0
1-T-209,183.9,125.785,184.292,226.772,625.385,Dry,0
1-T-209,184,120.586,184.131,226.772,597.59,Dry,0
1-T-209,184.1,125.785,184.269,226.772,653.18,Dry,0
1-T-209,184.2,167.38,184.73,226.772,684.449,Dry,0
1-T-209,184.3,52.9939,184.408,226.772,660.128,Dry,0
1-T-209,184.4,104.988,183.855,226.772,653.18,Dry,0
1-T-209,184.5,94.589,183.901,226.772,792.154,Dry,0
1-T-209,184.6,73.7914,184.822,226.772,701.82,Dry,0
1-T-209,184.7,84.1902,184.638,227.953,618.436,Dry,0
1-T-209,184.8,63.3926,184.177,227.953,736.564,Dry,0
