     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
154.3,42.5951,38.9666,224.772,441.244,Dry
154.5,11.3988,38.9666,224.905,437.769,Dry
154.8,1,38.9436,225.238,416.923,Dry
155,11.3988,38.8745,225.338,375.231,Dry
155.3,21.7975,38.9436,225.304,295.321,Dry
155.5,16.5982,38.9896,225.371,277.949,Dry
155.8,1,39.0126,225.437,337.013,Dry
156,16.5982,39.1047,225.903,354.385,Dry
156.3,11.3988,39.0587,226.302,340.487,Dry
156.5,11.3988,39.0587,226.369,312.692,Dry
156.8,16.5982,39.1738,227.034,364.808,Dry
157,1,39.1968,226.901,375.231,Dry
157.3,11.3988,39.2889,227.233,340.487,Dry
157.5,32.1963,39.3349,226.735,337.013,Dry
157.8,42.5951,39.3809,225.87,323.115,Dry
158,11.3988,39.404,224.473,319.641,Dry
158.3,11.3988,39.2658,223.941,361.333,Dry
158.5,11.3988,39.0587,224.107,375.231,Dry
158.8,11.3988,38.7824,224.307,236.256,Dry
159,11.3988,38.8515,223.941,326.59,Dry
159.3,11.3988,38.8515,223.908,319.641,Dry
159.5,1,38.7824,223.542,399.551,Dry
159.8,16.5982,38.8054,223.542,243.205,Dry
160,1,38.7824,223.375,253.628,Dry
160.3,1,38.7594,76.9685,375.231,Dry
160.5,6.19939,38.7824,76.9685,288.372,Dry
160.8,16.5982,39.1738,76.9685,281.423,Dry
161,6.19939,39.9334,76.9685,257.103,Dry
161.3,11.3988,37.9537,76.378,271,Dry
161.5,16.5982,36.2732,76.378,378.705,Dry
161.8,26.9969,38.1839,75.9843,347.436,Dry
162,16.5982,39.0587,75.9843,330.064,Dry
162.3,1,38.0228,75.9843,333.538,Dry
162.5,11.3988,37.5393,75,271,Dry
162.8,1,36.7106,74.2126,389.128,Dry
163,32.1963,36.7106,74.2126,361.333,Dry
163.3,32.1963,22.254,73.622,403.026,Dry
163.5,21.7975,19.952,72.6378,277.949,Dry
163.8,6.19939,20.5965,71.8504,333.538,Dry
164,11.3988,21.0109,70.8661,333.538,Dry
164.3,11.3988,21.0109,69.4882,451.667,Dry
164.5,21.7975,21.4253,69.4882,378.705,Dry
164.8,11.3988,21.8396,67.126,298.795,Dry
165,1,22.4381,65.3543,271,Dry
165.3,1,22.5763,64.3701,368.282,Dry
165.5,1,22.7604,64.3701,291.846,Dry
165.8,11.3988,23.0827,64.3701,298.795,Dry
166,6.19939,23.1748,64.3701,326.59,Dry
