     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
25,0,0,0,0,Dry
25.3,0,0,0,0,Dry
25.5,0,0,0,0,Dry
25.8,0,0,0,0,Dry
26,0,0,0,0,Dry
26.3,0,0,0,0,Dry
26.5,0,0,0,0,Dry
26.8,0,0,0,0,Dry
27,0,0,0,0,Dry
27.3,0,0,0,0,Dry
27.5,0,0,0,0,Dry
27.8,0,0,0,0,Dry
28,0,0,0,0,Dry
28.3,0,0,0,0,Dry
28.5,0,0,0,0,Dry
28.8,0,0,0,0,Dry
29,52.9939,0,0,0,Dry
29.3,115.387,0,0,0,Dry
29.5,104.988,0,0,0,Dry
29.8,58.1933,0,330.137,0,Dry
30,73.7914,0,333.691,0,Dry
30.3,84.1902,0,333.62,0,Dry
30.5,52.9939,105.87,335.076,0,Dry
30.8,42.5951,105.516,337.528,277.949,Dry
31,84.1902,105.622,337.528,333.538,Dry
31.3,63.3926,105.834,329.96,277.949,Dry
31.5,84.1902,105.339,157.628,257.103,Dry
31.8,73.7914,103.532,100.883,215.41,Dry
32,42.5951,76.3686,78.9598,312.692,Dry
32.3,94.589,50.232,65.422,333.538,Dry
32.5,104.988,43.1489,59.3815,284.897,Dry
32.8,73.7914,41.4135,56.1836,333.538,Dry
33,73.7914,43.4676,55.4375,319.641,Dry
33.3,32.1963,46.3363,56.1126,284.897,Dry
33.5,32.1963,48.4966,58.5998,277.949,Dry
33.8,42.5951,50.2674,63.219,250.154,Dry
34,115.387,52.2861,66.8789,298.795,Dry
34.3,32.1963,53.9152,70.0768,281.423,Dry
34.5,52.9939,55.1547,72.7417,326.59,Dry
34.8,42.5951,56.4651,76.0106,215.41,Dry
35,32.1963,57.8109,78.4624,340.487,Dry
35.3,21.7975,58.6609,80.6654,194.564,Dry
35.5,42.5951,59.6525,82.4064,284.897,Dry
35.8,84.1902,60.5379,82.1933,326.59,Dry
36,47.7945,61.7774,79.8126,312.692,Dry
36.3,52.9939,63.3357,77.5741,382.179,Dry
36.5,63.3926,64.3274,76.7213,305.744,Dry
36.8,42.5951,63.3711,77.1121,305.744,Dry
37,52.9939,61.6004,79.5283,298.795,Dry
37.3,63.3926,59.7233,81.9801,291.846,Dry
37.5,63.3926,57.7401,82.7973,284.897,Dry
37.8,63.3926,55.8985,81.8379,333.538,Dry
38,11.3988,54.3048,79.9547,326.59,Dry
38.3,73.7914,53.0298,78.2492,236.256,Dry
38.5,42.5951,51.7194,76.7924,326.59,Dry
38.8,32.1963,51.5423,75.7974,250.154,Dry
39,63.3926,51.8611,75.4777,284.897,Dry
39.3,32.1963,52.2152,75.1223,319.641,Dry
39.5,63.3926,52.6402,75.3,305.744,Dry
39.8,63.3926,53.2423,75.4066,222.359,Dry
40,63.3926,53.8444,75.7619,326.59,Dry
40.3,104.988,54.1277,76.6502,340.487,Dry
40.5,84.1902,54.5881,77.8939,312.692,Dry
40.8,63.3926,55.863,79.3151,222.359,Dry
41,63.3926,58.413,81.0562,284.897,Dry
41.3,52.9939,60.5733,83.7211,271,Dry
41.5,21.7975,62.5212,86.315,271,Dry
41.8,32.1963,64.3628,89.8682,326.59,Dry
42,21.7975,65.1773,93.7768,264.051,Dry
42.3,42.5951,64.9648,96.7615,236.256,Dry
42.5,63.3926,65.4961,100.67,333.538,Dry
42.8,11.3988,65.7794,104.685,312.692,Dry
43,1,66.771,107.208,264.051,Dry
43.3,21.7975,69.3918,110.157,326.59,Dry
43.5,11.3988,72.6146,113.213,382.179,Dry
43.8,11.3988,73.4291,115.807,333.538,Dry
44,32.1963,74.527,119.005,326.59,Dry
44.3,11.3988,75.9082,122.522,284.897,Dry
44.5,11.3988,76.7228,124.868,340.487,Dry
44.8,11.3988,77.254,127.532,340.487,Dry
45,11.3988,78.4227,129.735,326.59,Dry
45.3,1,79.3435,129.949,291.846,Dry
45.5,1,79.4852,128.065,319.641,Dry
45.8,21.7975,78.6706,124.796,354.385,Dry
46,32.1963,75.9791,121.208,382.179,Dry
46.3,1,72.3667,116.304,271,Dry
46.5,11.3988,69.8522,111.259,305.744,Dry
46.8,42.5951,68.5418,105.893,382.179,Dry
47,52.9939,67.4439,102.198,319.641,Dry
47.3,42.5951,66.8064,99.3198,271,Dry
47.5,52.9939,66.8064,97.0457,277.949,Dry
47.8,63.3926,66.7356,94.4874,326.59,Dry
48,94.589,66.4877,93.2438,340.487,Dry
48.3,136.184,66.3106,93.1017,382.179,Dry
48.5,52.9939,66.346,93.3859,284.897,Dry
48.8,42.5951,66.8773,94.0255,340.487,Dry
49,21.7975,66.6648,95.4823,340.487,Dry
49.3,42.5951,65.6377,96.9036,326.59,Dry
49.5,104.988,64.3274,96.9036,340.487,Dry
49.8,32.1963,63.2649,95.5179,319.641,Dry
50,94.589,62.0962,93.8123,312.692,Dry
50.3,63.3926,60.715,91.7159,291.846,Dry
50.5,63.3926,59.5108,89.1931,291.846,Dry
50.8,63.3926,58.413,86.1729,326.59,Dry
51,52.9939,57.138,83.8277,382.179,Dry
51.3,63.3926,55.5443,82.1933,375.231,Dry
51.5,52.9939,53.986,80.9141,291.846,Dry
51.8,63.3926,53.384,79.6349,236.256,Dry
52,63.3926,53.4548,78.3558,319.641,Dry
52.3,63.3926,53.5256,77.6807,347.436,Dry
52.5,104.988,52.8527,77.9649,305.744,Dry
52.8,84.1902,52.6048,78.4979,323.115,Dry
53,63.3926,53.7027,78.9243,361.333,Dry
53.3,42.5951,55.5089,80.0258,222.359,Dry
53.5,84.1902,57.4922,82.2999,250.154,Dry
53.8,73.7914,60.9275,85.4267,340.487,Dry
54,42.5951,65.7794,89.0155,277.949,Dry
54.3,32.1963,68.648,93.1372,340.487,Dry
54.5,84.1902,69.5334,98.4315,354.385,Dry
54.8,52.9939,69.6397,103.584,208.462,Dry
55,21.7975,69.6397,105.716,326.59,Dry
55.3,104.988,69.923,107.137,312.692,Dry
55.5,73.7914,70.4188,107.883,194.564,Dry
55.8,73.7914,70.9146,109.198,368.282,Dry
56,94.589,71.2688,110.797,333.538,Dry
56.3,32.1963,71.5875,112.005,305.744,Dry
56.5,104.988,72.65,111.934,312.692,Dry
56.8,104.988,74.4916,110.584,382.179,Dry
57,21.7975,75.802,109.944,333.538,Dry
57.3,21.7975,75.1999,110.157,361.333,Dry
57.5,63.3926,73.3937,110.903,326.59,Dry
57.8,63.3926,72.1896,110.726,243.205,Dry
58,84.1902,71.3042,108.061,291.846,Dry
58.3,52.9939,69.7105,104.223,236.256,Dry
58.5,63.3926,67.4085,100.883,291.846,Dry
58.8,94.589,64.2211,97.5432,375.231,Dry
59,73.7914,61.4233,95.0559,312.692,Dry
59.3,63.3926,59.9358,92.7108,250.154,Dry
59.5,84.1902,59.1921,90.7921,298.795,Dry
59.8,21.7975,59.1921,89.051,368.282,Dry
60,52.9939,59.1921,88.1982,194.564,Dry
60.3,52.9939,58.9442,87.452,340.487,Dry
60.5,42.5951,58.8025,86.4927,375.231,Dry
60.8,104.988,59.0504,84.6095,305.744,Dry
61,21.7975,59.0504,84.716,340.487,Dry
61.3,32.1963,57.7224,85.782,361.333,Dry
61.5,84.1902,55.7922,87.8074,222.359,Dry
61.8,73.7914,55.1193,89.6906,305.744,Dry
62,52.9939,56.288,90.4367,180.667,Dry
62.3,32.1963,58.9442,90.721,236.256,Dry
62.5,63.3926,61.7774,90.4012,312.692,Dry
62.8,52.9939,63.9024,91.0053,250.154,Dry
63,73.7914,64.8232,91.8225,284.897,Dry
63.3,84.1902,65.1773,92.7819,347.436,Dry
63.5,1,64.3982,92.9951,222.359,Dry
63.8,94.589,62.8576,92.2489,326.59,Dry
64,104.988,61.317,91.3606,271,Dry
64.3,42.5951,60.5733,90.5433,222.359,Dry
64.5,52.9939,60.29,89.9393,243.205,Dry
64.8,52.9939,60.8212,89.5484,250.154,Dry
65,73.7914,61.4587,89.7616,277.949,Dry
65.3,32.1963,61.2816,90.721,243.205,Dry
65.5,63.3926,60.2192,91.5027,319.641,Dry
65.8,104.988,60.0067,91.9291,347.436,Dry
66,63.3926,60.1837,91.1829,347.436,Dry
66.3,42.5951,60.8212,91.1474,312.692,Dry
66.5,73.7914,61.2816,91.3961,326.59,Dry
66.8,63.3926,61.0691,92.3555,236.256,Dry
67,52.9939,61.2108,93.7057,291.846,Dry
67.3,11.3988,62.4503,94.5585,257.103,Dry
67.5,42.5951,65.1773,93.8834,312.692,Dry
