     Depth,  GAM(NAT),   RES(16),   RES(64),   NEUTRON,Outcome
50,31.0888,0,0,667.077,Hard_Water
50.3,31.0888,43.1102,67.9134,548.949,Hard_Water
50.5,61.1775,41.9291,67.9134,618.436,Hard_Water
50.8,41.1183,40.1575,66.7323,743.513,Hard_Water
51,71.2071,40.1575,66.7323,799.103,Hard_Water
51.3,31.0888,40.1575,66.7323,750.462,Hard_Water
51.5,41.1183,40.1575,65.5512,597.59,Hard_Water
51.8,91.2663,40.1575,65.5512,618.436,Hard_Water
52,1,40.1575,65.5512,701.82,Hard_Water
52.3,21.0592,40.1575,65.5512,764.359,Hard_Water
52.5,41.1183,40.1575,65.5512,896.385,Hard_Water
52.8,41.1183,40.1575,65.5512,604.538,Hard_Water
53,21.0592,40.1575,65.5512,833.846,Hard_Water
53.3,41.1183,41.9291,65.5512,646.231,Hard_Water
53.5,31.0888,41.9291,65.5512,722.667,Hard_Water
53.8,41.1183,41.9291,65.5512,667.077,Hard_Water
54,71.2071,43.1102,65.5512,667.077,Hard_Water
54.3,21.0592,43.1102,65.5512,924.18,Hard_Water
54.5,61.1775,43.1102,65.5512,847.744,Hard_Water
54.8,41.1183,43.1102,65.5512,792.154,Hard_Water
55,71.2071,44.2913,65.5512,792.154,Hard_Water
55.3,61.1775,46.063,65.5512,813,Hard_Water
55.5,131.385,46.063,65.5512,826.897,Hard_Water
55.8,81.2367,46.063,66.7323,931.128,Hard_Water
56,51.1479,50.1968,67.9134,750.462,Hard_Water
56.3,1,50.1968,67.9134,917.231,Hard_Water
56.5,41.1183,50.1968,67.9134,771.308,Hard_Water
56.8,41.1183,50.1968,67.9134,875.538,Hard_Water
57,41.1183,50.1968,67.9134,674.026,Hard_Water
57.3,41.1183,50.1968,67.9134,674.026,Hard_Water
57.5,101.296,50.1968,69.685,639.282,Hard_Water
57.8,41.1183,50.1968,70.8661,583.692,Hard_Water
58,41.1183,50.1968,70.8661,493.359,Hard_Water
58.3,71.2071,50.1968,72.0472,729.615,Hard_Water
58.5,41.1183,50.1968,72.0472,708.769,Hard_Water
58.8,51.1479,50.1968,72.0472,569.795,Hard_Water
59,51.1479,50.1968,72.0472,618.436,Hard_Water
59.3,41.1183,50.1968,73.8189,840.795,Hard_Water
59.5,71.2071,50.1968,75,729.615,Hard_Water
59.8,31.0888,50.1968,75,687.923,Hard_Water
60,41.1183,50.1968,75,771.308,Hard_Water
60.3,41.1183,50.1968,75,694.872,Hard_Water
60.5,31.0888,50.1968,75,562.846,Hard_Water
60.8,11.0296,50.1968,75,653.18,Hard_Water
61,91.2663,50.1968,75,840.795,Hard_Water
61.3,101.296,50.1968,75,604.538,Hard_Water
61.5,61.1775,50.1968,75,674.026,Hard_Water
61.8,11.0296,50.1968,76.7717,611.487,Hard_Water
62,51.1479,50.1968,76.7717,493.359,Hard_Water
62.3,41.1183,50.1968,77.9528,576.744,Hard_Water
62.5,41.1183,50.1968,79.1339,604.538,Hard_Water
62.8,31.0888,50.1968,79.1339,604.538,Hard_Water
63,41.1183,51.378,80.9055,618.436,Hard_Water
63.3,51.1479,51.378,83.2677,542,Hard_Water
63.5,61.1775,51.378,85.0394,597.59,Hard_Water
63.8,41.1183,53.1496,85.0394,576.744,Hard_Water
64,21.0592,53.1496,85.0394,562.846,Hard_Water
64.3,31.0888,53.1496,85.0394,465.564,Hard_Water
64.5,21.0592,53.1496,85.0394,562.846,Hard_Water
64.8,21.0592,53.1496,85.0394,861.641,Hard_Water
65,31.0888,53.1496,85.0394,611.487,Hard_Water
65.3,21.0592,53.1496,85.0394,604.538,Hard_Water
65.5,51.1479,53.1496,85.0394,694.872,Hard_Water
65.8,21.0592,53.1496,85.0394,451.667,Hard_Water
66,11.0296,51.378,85.0394,562.846,Hard_Water
66.3,31.0888,51.378,85.0394,590.641,Hard_Water
66.5,11.0296,51.378,85.0394,722.667,Hard_Water
66.8,11.0296,51.378,85.0394,611.487,Hard_Water
67,16.0444,51.378,85.0394,736.564,Hard_Water
67.3,101.296,51.378,85.0394,604.538,Hard_Water
67.5,81.2367,48.4252,85.0394,507.256,Hard_Water
67.8,101.296,48.4252,85.0394,514.205,Hard_Water
68,91.2663,48.4252,83.2677,437.769,Hard_Water
68.3,41.1183,48.4252,83.2677,583.692,Hard_Water
68.5,31.0888,48.4252,83.2677,542,Hard_Water
68.8,41.1183,48.4252,83.2677,646.231,Hard_Water
69,61.1775,48.4252,83.2677,694.872,Hard_Water
69.3,41.1183,48.4252,83.2677,660.128,Hard_Water
69.5,31.0888,47.2441,83.2677,576.744,Hard_Water
69.8,31.0888,47.2441,82.0866,576.744,Hard_Water
70,71.2071,47.2441,82.0866,597.59,Hard_Water
70.3,101.296,46.063,82.0866,465.564,Hard_Water
70.5,51.1479,46.063,79.1339,437.769,Hard_Water
70.8,61.1775,46.063,79.1339,611.487,Hard_Water
71,21.0592,44.2913,79.1339,632.333,Hard_Water
71.3,21.0592,43.1102,76.7717,521.154,Hard_Water
71.5,61.1775,41.9291,76.7717,590.641,Hard_Water
71.8,101.296,40.1575,72.0472,548.949,Hard_Water
72,31.0888,40.1575,72.0472,444.718,Hard_Water
72.3,121.355,38.9764,72.0472,437.769,Hard_Water
72.5,111.325,38.9764,72.0472,604.538,Hard_Water
72.8,81.2367,37.7953,72.0472,542,Hard_Water
73,41.1183,36.0236,63.7795,472.513,Hard_Water
73.3,51.1479,36.0236,63.7795,451.667,Hard_Water
73.5,31.0888,36.0236,63.7795,396.077,Hard_Water
73.8,51.1479,36.0236,63.7795,604.538,Hard_Water
74,101.296,36.0236,63.7795,423.872,Hard_Water
74.3,91.2663,36.0236,63.7795,562.846,Hard_Water
74.5,131.385,36.0236,63.7795,521.154,Hard_Water
74.8,91.2663,36.0236,65.5512,437.769,Hard_Water
75,31.0888,36.0236,65.5512,555.897,Hard_Water
75.3,56.1627,36.0236,65.5512,465.564,Hard_Water
75.5,31.0888,36.0236,65.5512,444.718,Hard_Water
75.8,101.296,36.0236,65.5512,403.026,Hard_Water
76,91.2663,36.0236,66.7323,458.615,Hard_Water
76.3,21.0592,36.0236,66.7323,409.974,Hard_Water
76.5,101.296,37.7953,66.7323,472.513,Hard_Water
76.8,26.074,37.7953,66.7323,409.974,Hard_Water
77,91.2663,37.7953,66.7323,542,Dry
77.3,71.2071,37.7953,66.7323,423.872,Dry
77.5,61.1775,37.7953,66.7323,409.974,Dry
77.8,61.1775,37.7953,66.7323,416.923,Dry
78,11.0296,38.9764,66.7323,361.333,Dry
78.3,31.0888,38.9764,66.7323,458.615,Dry
78.5,61.1775,38.9764,66.7323,389.128,Dry
78.8,31.0888,38.9764,66.7323,382.179,Dry
79,31.0888,38.9764,66.7323,271,Dry
79.3,21.0592,38.9764,63.7795,409.974,Dry
79.5,31.0888,41.9291,63.7795,396.077,Dry
79.8,71.2071,41.9291,63.7795,389.128,Dry
80,61.1775,40.1575,63.7795,375.231,Dry
80.3,51.1479,40.1575,63.7795,354.385,Dry
80.5,41.1183,40.1575,63.7795,347.436,Dry
80.8,51.1479,40.1575,63.7795,375.231,Dry
81,61.1775,40.1575,63.7795,416.923,Dry
81.3,41.1183,40.1575,63.7795,423.872,Dry
81.5,41.1183,40.1575,63.7795,347.436,Dry
81.8,21.0592,40.1575,63.7795,354.385,Dry
82,61.1775,40.1575,63.7795,319.641,Dry
82.3,41.1183,40.1575,63.7795,396.077,Dry
82.5,21.0592,40.1575,63.7795,416.923,Dry
82.8,41.1183,40.1575,63.7795,284.897,Dry
83,11.0296,40.1575,63.7795,423.872,Dry
83.3,11.0296,40.1575,63.7795,361.333,Dry
83.5,21.0592,40.1575,63.7795,430.821,Dry
83.8,41.1183,40.1575,63.7795,375.231,Dry
84,61.1775,40.1575,65.5512,368.282,Dry
84.3,31.0888,40.1575,65.5512,319.641,Dry
84.5,81.2367,40.1575,65.5512,298.795,Dry
84.8,81.2367,40.1575,65.5512,382.179,Dry
85,51.1479,40.1575,65.5512,375.231,Dry
85.3,51.1479,40.1575,65.5512,347.436,Dry
85.5,61.1775,40.1575,65.5512,375.231,Dry
85.8,41.1183,40.1575,65.5512,375.231,Dry
86,61.1775,40.1575,63.7795,382.179,Dry
86.3,71.2071,40.1575,63.7795,396.077,Dry
86.5,31.0888,40.1575,63.7795,333.538,Dry
86.8,11.0296,40.1575,63.7795,340.487,Dry
87,41.1183,40.1575,65.5512,340.487,Dry
87.3,41.1183,40.1575,65.5512,361.333,Dry
87.5,21.0592,41.9291,65.5512,382.179,Dry
87.8,61.1775,41.9291,66.7323,465.564,Dry
88,81.2367,41.9291,66.7323,416.923,Dry
88.3,91.2663,41.9291,66.7323,291.846,Dry
88.5,11.0296,41.9291,66.7323,382.179,Dry
88.8,21.0592,41.9291,69.685,368.282,Dry
89,81.2367,41.9291,69.685,389.128,Dry
89.3,61.1775,41.9291,69.685,333.538,Dry
89.5,31.0888,43.1102,69.685,284.897,Dry
89.8,31.0888,43.1102,69.685,340.487,Dry
90,21.0592,43.1102,69.685,312.692,Dry
90.3,21.0592,43.1102,69.685,312.692,Dry
90.5,81.2367,43.1102,69.685,354.385,Dry
90.8,51.1479,44.2913,69.685,375.231,Dry
91,21.0592,44.2913,69.685,382.179,Dry
91.3,121.355,44.2913,69.685,458.615,Dry
91.5,41.1183,44.2913,67.9134,430.821,Dry
91.8,11.0296,44.2913,67.9134,368.282,Dry
92,11.0296,44.2913,66.7323,340.487,Dry
92.3,31.0888,44.2913,65.5512,382.179,Dry
92.5,141.414,44.2913,65.5512,333.538,Dry
92.8,31.0888,44.2913,65.5512,396.077,Dry
93,31.0888,44.2913,65.5512,409.974,Dry
93.3,21.0592,44.2913,66.7323,347.436,Dry
93.5,31.0888,44.2913,66.7323,326.59,Dry
93.8,81.2367,44.2913,66.7323,291.846,Dry
94,11.0296,44.2913,66.7323,375.231,Dry
94.3,41.1183,44.2913,66.7323,375.231,Dry
94.5,61.1775,44.2913,66.7323,389.128,Dry
94.8,41.1183,44.2913,66.7323,326.59,Dry
95,46.1331,44.2913,66.7323,333.538,Dry
95.3,41.1183,44.2913,66.7323,264.051,Dry
95.5,51.1479,44.2913,66.7323,389.128,Dry
95.8,41.1183,44.2913,66.7323,312.692,Dry
96,51.1479,44.2913,66.7323,326.59,Dry
96.3,71.2071,44.2913,66.7323,333.538,Dry
96.5,61.1775,44.2913,66.7323,409.974,Dry
96.8,51.1479,44.2913,66.7323,284.897,Dry
97,46.1331,44.2913,66.7323,340.487,Dry
97.3,81.2367,44.2913,66.7323,312.692,Dry
97.5,51.1479,44.2913,67.9134,333.538,Dry
97.8,81.2367,44.2913,67.9134,354.385,Dry
98,51.1479,44.2913,69.685,423.872,Dry
98.3,61.1775,44.2913,70.8661,396.077,Dry
98.5,31.0888,44.2913,73.8189,430.821,Dry
98.8,61.1775,46.063,73.8189,409.974,Dry
99,21.0592,46.063,73.8189,305.744,Dry
99.3,21.0592,46.063,76.7717,347.436,Dry
99.5,41.1183,48.4252,76.7717,389.128,Dry
99.8,51.1479,51.378,76.7717,250.154,Dry
100,61.1775,51.378,77.9528,389.128,Dry
100.3,31.0888,51.378,79.1339,305.744,Dry
100.5,11.0296,53.1496,80.9055,312.692,Dry
100.8,36.1035,53.1496,82.0866,298.795,Dry
101,1,54.3307,82.0866,319.641,Dry
101.3,31.0888,54.3307,83.2677,354.385,Dry
101.5,1,55.5118,85.0394,389.128,Dry
101.8,1,57.2835,87.4016,305.744,Dry
102,51.1479,57.2835,87.4016,333.538,Dry
102.3,51.1479,58.4646,87.4016,319.641,Dry
102.5,91.2663,58.4646,87.4016,354.385,Dry
102.8,71.2071,59.6457,87.4016,340.487,Dry
